"Level";"Place0";"Place1";"Place2";"Longitude";"Latitude";"Zoom";"Icon"
1;"Germany";"Baden-Württemberg";;"E9.03994";"N48.59089";;
1;"Germany";"Bavaria";;"E11.40387";"N48.94675";;
1;"Germany";"Berlin";;"E13.40254";"N52.50152";;
1;"Germany";"Brandenburg";;"E13.24612";"N52.84554";;
1;"Germany";"Bremen";;"E8.69323";"N53.14486";;
1;"Germany";"Hamburg";;"E10.00991";"N53.54376";;
1;"Germany";"Hesse";;"E9.02846";"N50.60806";;
1;"Germany";"Lower Saxony";;"E9.07596";"N52.83985";;
1;"Germany";"Mecklenburg-Western Pomerania";;"E12.57554";"N53.77350";;
1;"Germany";"North Rhine-Westphalia";;"E7.55437";"N51.47892";;
1;"Germany";"Rhineland-Palatinate";;"E7.31064";"N49.95315";;
1;"Germany";"Saarland";;"E6.95373";"N49.38418";;
1;"Germany";"Saxony";;"E13.45850";"N50.92957";;
1;"Germany";"Saxony-Anhalt";;"E11.70033";"N52.00890";;
1;"Germany";"Schleswig-Holstein";;"E9.82200";"N54.18539";;
1;"Germany";"Thuringia";;"E11.03778";"N50.90147";;
2;"Germany";"Berlin";"Berlin";"E13.3833";"N52.5167";;
2;"Germany";"Hamburg";"Hamburg";"E10";"N53.55";;
2;"Germany";"Bavaria";"Munich";"E11.5755";"N48.1372";;
2;"Germany";"North Rhine-Westphalia";"Cologne";"E6.9578";"N50.9422";;
2;"Germany";"Hesse";"Frankfurt";"E8.6797";"N50.1136";;
2;"Germany";"Bremen";"Bremen";"E8.7975";"N53.1153";;
2;"Germany";"North Rhine-Westphalia";"Düsseldorf";"E6.7724";"N51.2311";;
2;"Germany";"Baden-Württemberg";"Stuttgart";"E9.1775";"N48.7761";;
2;"Germany";"Saxony";"Leipzig";"E12.3833";"N51.3333";;
2;"Germany";"North Rhine-Westphalia";"Dortmund";"E7.4653";"N51.5139";;
2;"Germany";"North Rhine-Westphalia";"Essen";"E7.0131";"N51.4508";;
2;"Germany";"Saxony";"Dresden";"E13.74";"N51.05";;
2;"Germany";"Lower Saxony";"Hannover";"E9.7386";"N52.3744";;
2;"Germany";"Bavaria";"Nuremberg";"E11.0775";"N49.4539";;
2;"Germany";"North Rhine-Westphalia";"Duisburg";"E6.7611";"N51.4322";;
2;"Germany";"North Rhine-Westphalia";"Bochum";"E7.2167";"N51.4833";;
2;"Germany";"North Rhine-Westphalia";"Wuppertal";"E7.1833";"N51.2667";;
2;"Germany";"North Rhine-Westphalia";"Bielefeld";"E8.5333";"N52.0167";;
2;"Germany";"North Rhine-Westphalia";"Bonn";"E7.0997";"N50.7339";;
2;"Germany";"North Rhine-Westphalia";"Münster";"E7.6256";"N51.9625";;
2;"Germany";"Baden-Württemberg";"Karlsruhe";"E8.4";"N49.0167";;
