"Level";"Place0";"Place1";"Place2";"Longitude";"Latitude";"Zoom";"Icon"
1;"Switzerland";"Aargau (AG)";;"E8.15469";"N47.40970";;
1;"Switzerland";"Appenzell-Ausserrhoden (AR)";;"E9.36791";"N47.36635";;
1;"Switzerland";"Appenzell-Innerrhoden (AI)";;"E9.41675";"N47.31726";;
1;"Switzerland";"Basel-Landschaft (BL)";;"E7.70241";"N47.45176";;
1;"Switzerland";"Basel-Stadt (BS)";;"E7.61525";"N47.56486";;
1;"Switzerland";"Bern (BE)";;"E7.63666";"N46.82360";;
1;"Switzerland";"Freiburg (Fribourg) (FR)";;"E7.07400";"N46.71839";;
1;"Switzerland";"Genf (Geneva) (GE)";;"E6.13293";"N46.22052";;
1;"Switzerland";"Glarus (GL)";;"E9.06575";"N46.98104";;
1;"Switzerland";"Graubünden (GR)";;"E9.62819";"N46.65624";;
1;"Switzerland";"Jura (JU)";;"E7.15610";"N47.35074";;
1;"Switzerland";"Luzern (LU)";;"E8.1102";"N47.06776";;
1;"Switzerland";"Neuenburg (Neuchatel) (NE)";;"E6.78012";"N46.99553";;
1;"Switzerland";"Nidwalden (NW)";;"E8.40530";"N46.92675";;
1;"Switzerland";"Obwalden (OW)";;"E8.24431";"N46.85452";;
1;"Switzerland";"Schaffhausen (SH)";;"E8.59167";"N47.71357";;
1;"Switzerland";"Schwyz (SZ)";;"E8.75658";"N47.06178";;
1;"Switzerland";"Solothurn (SO)";;"E7.63938";"N47.30413";;
1;"Switzerland";"St.Gallen (SG)";;"E9.27474";"N47.2332";;
1;"Switzerland";"Thurgau (TG)";;"E9.09195";"N47.56871";;
1;"Switzerland";"Tessin (Ticino) (TI)";;"E8.80892";"N46.29561";;
1;"Switzerland";"Uri (UR)";;"E8.62858";"N46.77184";;
1;"Switzerland";"Wallis (Valais) (VS)";;"E7.60465";"N46.20956";;
1;"Switzerland";"Waadt (Vaud) (VD)";;"E6.65780";"N46.57009";;
1;"Switzerland";"Zug (ZG)";;"E8.53729";"N47.15729";;
2;"Switzerland";"Zürich (ZH)";;"E8.65508";"N47.41275";;
2;"Switzerland";"Zürich (ZH)";"Aeugst am Albis";"E8.48831";"N47.26700";;
2;"Switzerland";"Zürich (ZH)";"Aeugstertal";"E8.49364";"N47.28276";;
2;"Switzerland";"Zürich (ZH)";"Zwillikon";"E8.43145";"N47.28763";;
2;"Switzerland";"Zürich (ZH)";"Affoltern am Albis";"E8.44894";"N47.27916";;
2;"Switzerland";"Zürich (ZH)";"Bonstetten";"E8.46761";"N47.31551";;
2;"Switzerland";"Zürich (ZH)";"Hausen am Albis";"E8.53486";"N47.24235";;
2;"Switzerland";"Zürich (ZH)";"Ebertswil";"E8.55000";"N47.22615";;
2;"Switzerland";"Zürich (ZH)";"Hedingen";"E8.45034";"N47.29793";;
2;"Switzerland";"Zürich (ZH)";"Kappel am Albis";"E8.52484";"N47.22736";;
2;"Switzerland";"Zürich (ZH)";"Hauptikon";"E8.49535";"N47.23038";;
2;"Switzerland";"Zürich (ZH)";"Uerzlikon";"E8.49938";"N47.22203";;
2;"Switzerland";"Zürich (ZH)";"Knonau";"E8.46061";"N47.22379";;
2;"Switzerland";"Zürich (ZH)";"Maschwanden";"E8.42627";"N47.23524";;
